Date,Name
2020/01/03,ISM Manufacturing PMI                                                                                           
2020/01/03,Crude Oil Inventories                                                                                           
2020/01/03,FOMC Meeting Minutes                                                                                            
2020/01/07,ISM Non-Manufacturing PMI                                                                                       
2020/01/08,ADP Nonfarm Employment Change                                                                                   
2020/01/08,Crude Oil Inventories                                                                                           
2020/01/10,Nonfarm Payrolls                                                                                                
2020/01/10,Unemployment Rate                                                                                               
2020/01/14,Core CPI                                                                                                        
2020/01/15,PPI                                                                                                             
2020/01/15,Crude Oil Inventories                                                                                           
2020/01/16,Core Retail Sales                                                                                               
2020/01/16,Philadelphia Fed Manufacturing Index                                                                            
2020/01/16,Retail Sales                                                                                                    
2020/01/17,Building Permits                                                                                                
2020/01/17,JOLTs Job Openings                                                                                              
2020/01/21,U.S. President Trump Speaks                                                                                     
2020/01/22,Existing Home Sales                                                                                             
2020/01/23,Crude Oil Inventories                                                                                           
2020/01/27,New Home Sales                                                                                                  
2020/01/28,Core Durable Goods Orders                                                                                       
2020/01/28,CB Consumer Confidence                                                                                          
2020/01/29,Pending Home Sales                                                                                              
2020/01/29,Crude Oil Inventories                                                                                           
2020/01/29,FOMC Statement                                                                                                  
2020/01/29,Fed Interest Rate Decision                                                                                      
2020/01/29,FOMC Press Conference                                                                                           
2020/01/30,GDP                                                                                                             
2020/02/03,ISM Manufacturing PMI                                                                                           
2020/02/05,ADP Nonfarm Employment Change                                                                                   
2020/02/05,ISM Non-Manufacturing PMI                                                                                       
2020/02/05,Crude Oil Inventories                                                                                           
2020/02/06,Initial Jobless Claims                                                                                          
2020/02/07,Nonfarm Payrolls                                                                                                
2020/02/07,Unemployment Rate                                                                                               
2020/02/11,EIA Short-Term Energy Outlook                                                                                   
2020/02/11,Fed Chair Powell Testifies                                                                                      
2020/02/11,JOLTs Job Openings                                                                                              
2020/02/12,Fed Chair Powell Testifies                                                                                      
2020/02/12,Crude Oil Inventories                                                                                           
2020/02/13,Core CPI                                                                                                        
2020/02/13,Initial Jobless Claims                                                                                          
2020/02/14,Core Retail Sales                                                                                               
2020/02/14,Retail Sales                                                                                                    
2020/02/19,Building Permits                                                                                                
2020/02/19,PPI                                                                                                             
2020/02/19,FOMC Meeting Minutes                                                                                            
2020/02/20,Initial Jobless Claims                                                                                          
2020/02/20,Philadelphia Fed Manufacturing Index                                                                            
2020/02/20,Crude Oil Inventories                                                                                           
2020/02/21,Existing Home Sales                                                                                             
2020/02/25,CB Consumer Confidence                                                                                          
2020/02/26,New Home Sales                                                                                                  
2020/02/26,Crude Oil Inventories                                                                                           
2020/02/26,U.S. President Trump Speaks                                                                                     
2020/02/27,Core Durable Goods Orders                                                                                       
2020/02/27,GDP                                                                                                             
2020/02/27,Initial Jobless Claims                                                                                          
2020/02/27,Pending Home Sales                                                                                              
2020/03/02,ISM Manufacturing PMI                                                                                           
2020/03/03,Fed Interest Rate Decision                                                                                      
2020/03/04,ADP Nonfarm Employment Change                                                                                   
2020/03/04,ISM Non-Manufacturing PMI                                                                                       
2020/03/04,Crude Oil Inventories                                                                                           
2020/03/05,Initial Jobless Claims                                                                                          
2020/03/06,Nonfarm Payrolls                                                                                                
2020/03/06,Unemployment Rate                                                                                               
2020/03/10,U.S. President Trump Speaks                                                                                     
2020/03/11,EIA Short-Term Energy Outlook                                                                                   
2020/03/11,Core CPI                                                                                                        
2020/03/11,Crude Oil Inventories                                                                                           
2020/03/12,Initial Jobless Claims                                                                                          
2020/03/12,PPI                                                                                                             
2020/03/13,U.S. President Trump Speaks                                                                                     
2020/03/15,FOMC Statement                                                                                                  
2020/03/15,Fed Interest Rate Decision                                                                                      
2020/03/15,U.S. President Trump Speaks                                                                                     
2020/03/15,FOMC Press Conference                                                                                           
2020/03/17,Core Retail Sales                                                                                               
