Name,Date,High,Volume,Marketcap
Aave,2020-10-05,55.1124,0.0,89128128.8608
Aave,2020-10-06,53.4023,583091.4598,71011441.2545
Aave,2020-10-07,42.4083,682834.1863,67130036.8998
Aave,2020-10-08,44.9025,1658816.9226,220265142.1096
Aave,2020-10-09,47.5695,815537.6608,235632208.1627
Aave,2020-10-10,51.4057,1074627.0277,247288428.7562
Aave,2020-10-11,51.4534,692150.6009,249940843.4324
Aave,2020-10-12,54.4214,1354836.0648,262915666.2931
Aave,2020-10-13,57.4819,1386221.2067,257307050.4308
Aave,2020-10-14,57.8539,3132405.4222,258274392.5081
Aave,2020-10-15,52.0807,5883146.0628,221547139.1073
Aave,2020-10-16,43.9067,52855204.9363,365071463.2799
Aave,2020-10-17,43.0774,43339687.2478,382367032.264
Aave,2020-10-18,41.7495,40441163.4566,376635994.1364
Aave,2020-10-19,40.9952,49289896.5112,332872221.1838
Aave,2020-10-20,36.3191,60632325.5938,297449169.452
Aave,2020-10-21,37.0782,43831234.9627,324997301.4546
Aave,2020-10-22,39.8569,54717366.3773,402396251.4908
Aave,2020-10-23,42.5467,76081859.9115,445257057.9715
Aave,2020-10-24,42.4397,57658170.2947,421421064.279
Aave,2020-10-25,40.9285,43970451.9598,404862645.1741
Aave,2020-10-26,39.1639,50307222.8547,384880121.6316
Aave,2020-10-27,38.8692,58581307.8537,372464564.358
Aave,2020-10-28,35.564,60533866.8261,346002819.3466
Aave,2020-10-29,33.1555,66304785.645,310800760.6224
Aave,2020-10-30,31.9808,77280723.589,350090548.3701
Aave,2020-10-31,32.9002,58631071.607,333516029.2964
Aave,2020-11-01,31.0671,49568339.1587,345465544.0019
Aave,2020-11-02,33.9236,87180146.4724,335349717.5106
Aave,2020-11-03,30.0629,56775011.5956,316455541.598
Aave,2020-11-04,28.4331,50464690.5102,313021334.5685
Aave,2020-11-05,32.303,85212411.6425,350205472.9255
Aave,2020-11-06,40.7691,147304661.0004,435876358.2494
Aave,2020-11-07,51.428,200580053.6053,507707213.1976
Aave,2020-11-08,54.7864,174706008.6469,613014913.9175
Aave,2020-11-09,58.3641,386011347.7492,626843328.1216
Aave,2020-11-10,70.3098,433793206.4968,780700254.0603
Aave,2020-11-11,68.7786,354136841.3456,638025534.6074
Aave,2020-11-12,59.6183,244505561.5471,603421827.5596
Aave,2020-11-13,66.1237,318852071.2421,743396746.182
Aave,2020-11-14,68.377,243698854.7457,786814070.8943
Aave,2020-11-15,71.1746,258275517.0998,754769242.9849
Aave,2020-11-16,74.0423,252527244.6747,843863117.2247
Aave,2020-11-17,79.5621,310951195.4894,923384720.0463
Aave,2020-11-18,79.2105,291394550.7946,887327038.5704
Aave,2020-11-19,80.7312,275294182.2809,895838057.7896
Aave,2020-11-20,82.1732,260578165.4953,888309702.545
Aave,2020-11-21,76.8917,237984829.2001,833647262.7057
Aave,2020-11-22,74.6598,209068686.3781,811198457.4282
Aave,2020-11-23,73.7706,220212896.12,852034424.5074
Aave,2020-11-24,74.3801,193004081.1787,792032288.2378
Aave,2020-11-25,67.4526,154888752.2167,733874939.2968
Aave,2020-11-26,65.0977,282502058.4653,760506808.6507
Aave,2020-11-27,68.6654,201844805.7561,722139363.779
Aave,2020-11-28,66.201,150605043.4452,760508853.1865
Aave,2020-11-29,69.5614,161791286.3075,819035970.452
Aave,2020-11-30,79.4651,288079549.8671,909941093.0031
Aave,2020-12-01,78.8619,268968536.9296,891921515.9888
Aave,2020-12-02,89.938,410949897.5495,1029525776.0386
Aave,2020-12-03,94.0698,390370348.3556,1093762156.9255
Aave,2020-12-04,92.7358,344330864.1264,974344644.0415
Aave,2020-12-05,91.9206,321071928.2328,1097810892.1516
Aave,2020-12-06,92.7335,261643152.784,1051203168.9806
Aave,2020-12-07,94.7002,299145687.7402,1087477655.8333
Aave,2020-12-08,91.0988,376267574.7847,956117556.4914
Aave,2020-12-09,86.1254,357447823.9546,982942929.995
Aave,2020-12-10,83.0512,299977126.9967,917596922.5461
Aave,2020-12-11,78.349,314260628.5667,894777251.8971
Aave,2020-12-12,79.9983,228308571.7737,928807400.9458
Aave,2020-12-13,84.6491,269018776.9247,999380433.3589
Aave,2020-12-14,90.8568,309773536.51,1032112150.7017
Aave,2020-12-15,88.7453,288078630.1211,1045770157.8973
Aave,2020-12-16,89.4808,368950333.1916,1045506379.5753
Aave,2020-12-17,89.4745,361404899.2843,1019961551.3522
Aave,2020-12-18,89.773,254960310.8345,1076525471.5507
Aave,2020-12-19,96.0686,357204770.5456,1067684335.4318
Aave,2020-12-20,89.8442,280308987.2709,1031344697.2759
Aave,2020-12-21,87.6334,215489072.0671,975723269.0679
Aave,2020-12-22,85.6103,244392689.8707,1009442760.1055
Aave,2020-12-23,84.2682,278229984.1943,902812157.5579
Aave,2020-12-24,80.444,289878177.1661,963409600.2909
Aave,2020-12-25,81.5042,172743359.1512,958013751.4964
Aave,2020-12-26,79.9801,181386506.7095,898979377.0145
Aave,2020-12-27,81.5269,213855387.9635,924546580.8375
Aave,2020-12-28,85.2196,226663289.8152,984160252.9023
Aave,2020-12-29,82.7033,163464865.4658,936493441.5519
Aave,2020-12-30,84.9368,205643884.0541,973018228.8535
