Name,Date,High,Volume,Marketcap
Binance Coin,2020-01-01 23:59:59,13.8739457448,172980717.815414,2129155037.07651
Binance Coin,2020-01-02 23:59:59,13.7155483269,156376427.464497,2026178425.73812
Binance Coin,2020-01-03 23:59:59,13.7637094353,173683856.862963,2124701779.87031
Binance Coin,2020-01-04 23:59:59,13.9219136898,182230373.65292,2160640037.34281
Binance Coin,2020-01-05 23:59:59,14.4108011583,202552703.061158,2194781442.97117
Binance Coin,2020-01-06 23:59:59,15.0035654283,224800409.035682,2326488218.5982
Binance Coin,2020-01-07 23:59:59,15.1352754775,191948559.80021,2334489401.61622
Binance Coin,2020-01-08 23:59:59,15.2422188285,183632221.905469,2271292397.10189
Binance Coin,2020-01-09 23:59:59,14.6110890697,169699829.321124,2255020117.98903
Binance Coin,2020-01-10 23:59:59,15.0276892128,200173072.324779,2337067556.5513
Binance Coin,2020-01-11 23:59:59,15.2502366605,201663502.561329,2324702655.51538
Binance Coin,2020-01-12 23:59:59,15.4721086585,231150157.902352,2383146448.91931
Binance Coin,2020-01-13 23:59:59,15.3553867812,211785744.130237,2368399884.48425
Binance Coin,2020-01-14 23:59:59,16.7906600187,299316969.410413,2585972298.76511
Binance Coin,2020-01-15 23:59:59,18.0962697576,380806616.277244,2745971387.83994
Binance Coin,2020-01-16 23:59:59,17.6607941082,260423403.859736,2656091975.11633
Binance Coin,2020-01-17 23:59:59,18.3618311217,347229168.494848,2820689254.97043
Binance Coin,2020-01-18 23:59:59,18.3144804785,257317647.430094,2772273816.74863
Binance Coin,2020-01-19 23:59:59,18.4377558544,266285620.843531,2701556607.33912
Binance Coin,2020-01-20 23:59:59,17.5537379092,245125918.586327,2694716492.1342
Binance Coin,2020-01-21 23:59:59,18.1466848077,295922233.239471,2819517646.34097
Binance Coin,2020-01-22 23:59:59,18.3537119917,237634401.457086,2768298454.50765
Binance Coin,2020-01-23 23:59:59,17.8170115333,221009513.235231,2647453374.79181
Binance Coin,2020-01-24 23:59:59,17.3950344519,213341614.524531,2651498155.97633
Binance Coin,2020-01-25 23:59:59,17.1090131212,208315918.94768,2640407667.06903
Binance Coin,2020-01-26 23:59:59,17.4945254279,248646035.936405,2712347640.85295
Binance Coin,2020-01-27 23:59:59,17.8951146754,227584506.063005,2751653009.27103
Binance Coin,2020-01-28 23:59:59,18.1151355317,257579474.960569,2817568636.15013
Binance Coin,2020-01-29 23:59:59,18.4336315527,221674738.869375,2786094248.02933
Binance Coin,2020-01-30 23:59:59,18.7032363768,264686498.357573,2891490937.7375
Binance Coin,2020-01-31 23:59:59,18.8409605733,245035922.0887,2832476037.41387
Binance Coin,2020-02-01 23:59:59,18.5701487168,238461925.144229,2833617692.68982
