Name,Date,High,Volume,Marketcap
Bitcoin,2020-01-01 23:59:59,7254.33061134,18565664996.7884,130580829149.587
Bitcoin,2020-01-02 23:59:59,7212.15525252,20802083465.3292,126699395235.204
Bitcoin,2020-01-03 23:59:59,7413.71509934,28111481031.9377,133233444755.489
Bitcoin,2020-01-04 23:59:59,7427.38579435,18444271274.7607,134442464030.264
Bitcoin,2020-01-05 23:59:59,7544.49687224,19725074094.5446,134469548249.076
Bitcoin,2020-01-06 23:59:59,7781.86718275,23276261598.2482,140976457303.71
Bitcoin,2020-01-07 23:59:59,8178.21587336,28767291326.9703,148152237653.685
Bitcoin,2020-01-08 23:59:59,8396.73788064,31672559264.5185,146645162431.476
Bitcoin,2020-01-09 23:59:59,8082.29607413,24045990465.6494,143016572819.392
Bitcoin,2020-01-10 23:59:59,8166.55414039,28714583843.7846,148249907276.742
Bitcoin,2020-01-11 23:59:59,8218.3589373,25521165085.3714,145924199942.312
Bitcoin,2020-01-12 23:59:59,8200.06347027,22903438381.3875,148752956965.746
Bitcoin,2020-01-13 23:59:59,8197.78817891,22482910687.9031,147890525972.527
Bitcoin,2020-01-14 23:59:59,8879.51152651,44841784107.1774,160319484882.901
Bitcoin,2020-01-15 23:59:59,8890.11741953,40102834649.9655,159959191211.678
Bitcoin,2020-01-16 23:59:59,8846.46109861,31313981930.8235,158465055984.185
Bitcoin,2020-01-17 23:59:59,8958.12195167,36372139320.4446,162211148777.656
Bitcoin,2020-01-18 23:59:59,9012.19810645,32337772626.799,162475965880.12
Bitcoin,2020-01-19 23:59:59,9164.36225977,34217320471.3994,158194319734.796
Bitcoin,2020-01-20 23:59:59,8745.59079709,26422375678.0529,157327553259.434
Bitcoin,2020-01-21 23:59:59,8755.70629569,24097418512.0058,158947996833.847
Bitcoin,2020-01-22 23:59:59,8792.9938714,22600204050.5816,157783273070.101
Bitcoin,2020-01-23 23:59:59,8687.74708842,25770680778.6907,152813329632.858
Bitcoin,2020-01-24 23:59:59,8514.66703526,24397913025.6774,153536829768.103
Bitcoin,2020-01-25 23:59:59,8458.45301525,19647331548.6757,152143262649.888
Bitcoin,2020-01-26 23:59:59,8602.40124618,22177678795.56,156322174637.231
Bitcoin,2020-01-27 23:59:59,8977.7269618,28647338393.165,162027957434.616
Bitcoin,2020-01-28 23:59:59,9358.59031703,34398744402.6914,170205617954.856
Bitcoin,2020-01-29 23:59:59,9406.43179329,30682598115.464,169460984603.208
Bitcoin,2020-01-30 23:59:59,9553.12613251,32378792850.8777,172978577930.867
Bitcoin,2020-01-31 23:59:59,9521.70592625,29432489719.1331,170112778161.315
Bitcoin,2020-02-01 23:59:59,9439.323332,25922656496.1848,170900662180.114
Bitcoin,2020-02-02 23:59:59,9468.79761797,30835736946.1066,170034976661.751
Bitcoin,2020-02-03 23:59:59,9540.37173779,30934096508.7388,169126861033.712
Bitcoin,2020-02-04 23:59:59,9331.26581712,29893183716.0878,167093636161.856
Bitcoin,2020-02-05 23:59:59,9701.30003735,35222060874.4553,174983423932.952
Bitcoin,2020-02-06 23:59:59,9824.61926061,37628823715.5135,177118274393.946
Bitcoin,2020-02-07 23:59:59,9834.71678972,34522718159.4693,178339437206.337
Bitcoin,2020-02-08 23:59:59,9876.74934121,35172043761.8284,179615828322.347
Bitcoin,2020-02-09 23:59:59,10129.4351603,35807884663.4158,184214765394.475
Bitcoin,2020-02-10 23:59:59,10165.765355,39386548074.7018,179494809265.716
Bitcoin,2020-02-11 23:59:59,10210.0526411,37648059388.6878,185917114988.663
Bitcoin,2020-02-12 23:59:59,10393.6117227,43444303830.2328,188081204385.987
Bitcoin,2020-02-13 23:59:59,10457.6271997,49356071372.9288,186065003525.648
Bitcoin,2020-02-14 23:59:59,10321.9957973,43338264161.5617,187862645448.777
Bitcoin,2020-02-15 23:59:59,10341.5559017,43865054831.0045,180179996218.634
Bitcoin,2020-02-16 23:59:59,10053.9690091,43374780305.4408,181017665264.459
Bitcoin,2020-02-17 23:59:59,9938.81578,45998298412.6028,176585280987.035
Bitcoin,2020-02-18 23:59:59,10161.9353141,47271023953.4278,184838512656.137
Bitcoin,2020-02-19 23:59:59,10191.6758471,46992019709.9208,175585931679.441
Bitcoin,2020-02-20 23:59:59,9643.21673144,44925260236.831,175147142158.083
Bitcoin,2020-02-21 23:59:59,9723.01498512,40930547512.6559,176587087363.478
Bitcoin,2020-02-22 23:59:59,9698.23112312,35838025154.2608,176180696547.801
Bitcoin,2020-02-23 23:59:59,9937.40410608,41185185761.491,180963233539.785
Bitcoin,2020-02-24 23:59:59,9951.74614899,45080496648.3463,175977808525.913
Bitcoin,2020-02-25 23:59:59,9652.73686506,42515259129.2118,170369581557.89
Bitcoin,2020-02-26 23:59:59,9354.77831023,50420050761.9225,160879489024.207
Bitcoin,2020-02-27 23:59:59,8932.89304727,45470195695.0864,160238496932.208
Bitcoin,2020-02-28 23:59:59,8890.45600513,44605450442.7398,158211707018.784
Bitcoin,2020-02-29 23:59:59,8775.63201232,35792392544.0102,156895988083.74
Bitcoin,2020-03-01 23:59:59,8726.79676016,35349164300.1413,156238987739.907
Bitcoin,2020-03-02 23:59:59,8921.30839546,42857674408.8765,161861167745.164
Bitcoin,2020-03-03 23:59:59,8901.59868323,42386715820.5577,160383579416.238
Bitcoin,2020-03-04 23:59:59,8843.36574975,34746706368.1467,159807857328.088
Bitcoin,2020-03-05 23:59:59,9142.05429624,39698054597.4259,165731679917.865
Bitcoin,2020-03-06 23:59:59,9167.69579623,40826885650.9438,166548261959.532
Bitcoin,2020-03-07 23:59:59,9163.22109566,36216930369.6665,162684945902.611
Bitcoin,2020-03-08 23:59:59,8914.34415498,39973102120.5682,148060284561.061
Bitcoin,2020-03-09 23:59:59,8177.79322362,46936995808.1849,144706353758.487
Bitcoin,2020-03-10 23:59:59,8136.9452227,42213940993.6104,144465567734.489
Bitcoin,2020-03-11 23:59:59,7950.81435628,38682762604.6366,144508402670.563
Bitcoin,2020-03-12 23:59:59,7929.11601884,53980357243.0501,90804613600.616
Bitcoin,2020-03-13 23:59:59,5838.11493749,74156772074.9603,101644613038.335
Bitcoin,2020-03-14 23:59:59,5625.22650517,36154506007.5848,95014981943.9861
Bitcoin,2020-03-15 23:59:59,5836.64500618,33997889638.762,98530059889.968
Bitcoin,2020-03-16 23:59:59,5385.22952159,45368026429.6205,91633478850.4746
Bitcoin,2020-03-17 23:59:59,5371.34851644,38622642935.2466,95499941183.34
Bitcoin,2020-03-18 23:59:59,5331.83385967,37878801016.3368,95740715528.8542
Bitcoin,2020-03-19 23:59:59,6329.73594838,51000731797.4328,113162079955.697
Bitcoin,2020-03-20 23:59:59,6844.26152806,54442976102.5119,113309245860.002
Bitcoin,2020-03-21 23:59:59,6378.13517055,42494390879.6104,113068192795.056
Bitcoin,2020-03-22 23:59:59,6359.69729033,40099664740.0619,106591196068.926
Bitcoin,2020-03-23 23:59:59,6443.93454693,46491915999.7158,117314776187.32
Bitcoin,2020-03-24 23:59:59,6789.02272423,48221910672.248,123148917787.229
Bitcoin,2020-03-25 23:59:59,6892.51135949,44590107887.9421,122174009142.91
Bitcoin,2020-03-26 23:59:59,6735.4638794,35319797641.53,122834375215.51
Bitcoin,2020-03-27 23:59:59,6793.83619652,34585598366.5512,118336082172.395
Bitcoin,2020-03-28 23:59:59,6467.501165,34885225901.0064,114183689640.72
Bitcoin,2020-03-29 23:59:59,6250.46730894,28373690930.5441,108338520155.504
Bitcoin,2020-03-30 23:59:59,6517.19578925,37101651525.2979,117640143688.458
Bitcoin,2020-03-31 23:59:59,6504.51532416,32786468812.0812,117814077266.537
Bitcoin,2020-04-01 23:59:59,6612.57379089,40346426265.7324,120903014693.267
Bitcoin,2020-04-02 23:59:59,7088.24732438,47660646124.4133,124335130640.41
Bitcoin,2020-04-03 23:59:59,7003.22078432,38976504902.968,123244051099.793
Bitcoin,2020-04-04 23:59:59,6878.95351761,33185988583.8042,125712834529.574
Bitcoin,2020-04-05 23:59:59,6883.41414332,29510409856.1053,124328853511.615
Bitcoin,2020-04-06 23:59:59,7271.7811527,46896904614.9285,133140400947.86
Bitcoin,2020-04-07 23:59:59,7427.93933989,44243482667.8499,131409299432.46
Bitcoin,2020-04-08 23:59:59,7356.22386412,37563249548.9382,134309895035.597
Bitcoin,2020-04-09 23:59:59,7341.44831412,34815139177.5936,133737857009.882
Bitcoin,2020-04-10 23:59:59,7303.81519824,43622840991.71,125755496117.263
Bitcoin,2020-04-11 23:59:59,6926.0696338,31222085946.2734,125651623116.07
Bitcoin,2020-04-12 23:59:59,7119.94706176,35759567632.2851,127716846208.307
Bitcoin,2020-04-13 23:59:59,6965.61663772,38619308647.4394,125422221237.296
Bitcoin,2020-04-14 23:59:59,6958.55722441,34110434051.8629,125388687977.151
Bitcoin,2020-04-15 23:59:59,6928.66436972,32288311030.7598,121731940639.413
Bitcoin,2020-04-16 23:59:59,7134.45052778,46783242376.7001,130445413270.0
Bitcoin,2020-04-17 23:59:59,7167.18298759,32513423567.4314,130078472088.331
Bitcoin,2020-04-18 23:59:59,7269.95653094,32447188385.9262,133053136875.737
Bitcoin,2020-04-19 23:59:59,7280.52178187,31311210215.3203,131815853850.003
Bitcoin,2020-04-20 23:59:59,7240.29059686,37747113935.8454,126192239912.382
Bitcoin,2020-04-21 23:59:59,6934.55187057,32589741510.7266,126175238603.42
Bitcoin,2020-04-22 23:59:59,7145.86574462,33249153865.7605,130530916076.973
Bitcoin,2020-04-23 23:59:59,7491.78492971,43500782316.0712,136275638030.678
Bitcoin,2020-04-24 23:59:59,7574.19602617,34636526285.7972,138512029491.143
Bitcoin,2020-04-25 23:59:59,7641.36397705,32941541446.9347,138874072264.263
Bitcoin,2020-04-26 23:59:59,7700.59429483,33070154490.749,140903867572.585
Bitcoin,2020-04-27 23:59:59,7795.60083451,36162144724.7077,143040988589.571
Bitcoin,2020-04-28 23:59:59,7814.52714133,33187959920.9249,143266252261.336
Bitcoin,2020-04-29 23:59:59,8871.75372738,60201052202.5403,161522471384.783
Bitcoin,2020-04-30 23:59:59,9440.65067326,66964629541.3087,158922133909.094
Bitcoin,2020-05-01 23:59:59,9048.02383263,44068389996.9374,162722652380.246
Bitcoin,2020-05-02 23:59:59,9007.18780321,40134388683.2271,165012307599.614
Bitcoin,2020-05-03 23:59:59,9167.7813443,47101785174.2562,163358189150.984
Bitcoin,2020-05-04 23:59:59,8956.90651911,45718796275.5495,163654493632.392
Bitcoin,2020-05-05 23:59:59,9062.41456364,43148462663.1671,165332488791.878
Bitcoin,2020-05-06 23:59:59,9411.46787039,49371886931.4799,170229620935.298
Bitcoin,2020-05-07 23:59:59,9992.66392105,61112700562.079,182787376636.504
Bitcoin,2020-05-08 23:59:59,9996.74335304,51780748041.9506,180804859844.221
Bitcoin,2020-05-09 23:59:59,9913.86299284,46566121841.1111,176251395672.863
Bitcoin,2020-05-10 23:59:59,9595.58062909,63325279336.9553,160884755210.801
Bitcoin,2020-05-11 23:59:59,9033.47117613,57119858801.9446,158059235275.589
Bitcoin,2020-05-12 23:59:59,8949.89797874,42142717533.1676,161791577300.916
Bitcoin,2020-05-13 23:59:59,9317.87855411,45558144023.0156,170352710071.21
Bitcoin,2020-05-14 23:59:59,9793.26820869,56426907637.2912,178881641547.089
Bitcoin,2020-05-15 23:59:59,9755.82849814,48158802327.3442,171436341789.485
Bitcoin,2020-05-16 23:59:59,9564.20498908,36164766407.6309,172340956578.561
Bitcoin,2020-05-17 23:59:59,9823.0022878,40084250662.9587,177745404470.085
Bitcoin,2020-05-18 23:59:59,9906.03020325,41827139895.6194,178779483463.616
Bitcoin,2020-05-19 23:59:59,9836.04752405,39254288954.9774,178831635026.347
Bitcoin,2020-05-20 23:59:59,9804.79388786,36546239702.5477,175050963474.872
Bitcoin,2020-05-21 23:59:59,9555.24217533,39326160532.4299,166947987863.53
Bitcoin,2020-05-22 23:59:59,9232.93609283,29810773699.2271,168807619957.283
Bitcoin,2020-05-23 23:59:59,9302.50164919,27727866811.6695,169305492439.588
Bitcoin,2020-05-24 23:59:59,9288.40401564,32518803299.5833,161610414642.629
Bitcoin,2020-05-25 23:59:59,8951.00563809,31288157264.1934,163760453116.409
Bitcoin,2020-05-26 23:59:59,8991.9676255,29584186947.0227,162445535235.104
Bitcoin,2020-05-27 23:59:59,9203.32051535,32740536902.3266,168814700531.386
Bitcoin,2020-05-28 23:59:59,9546.31960175,34367073114.464,175161235290.292
Bitcoin,2020-05-29 23:59:59,9573.66681733,32896642044.2639,173575756364.005
Bitcoin,2020-05-30 23:59:59,9704.03030928,32722975141.2035,178390129757.676
Bitcoin,2020-05-31 23:59:59,9700.34389507,27773290298.5099,173997151929.677
Bitcoin,2020-06-01 23:59:59,10199.5649719,35198901068.3888,186993405740.449
Bitcoin,2020-06-02 23:59:59,10182.3407084,39137252108.6748,175277218229.261
Bitcoin,2020-06-03 23:59:59,9682.85947041,25007459262.1552,177619631125.589
Bitcoin,2020-06-04 23:59:59,9887.6106294,25921805071.9826,180276153545.029
Bitcoin,2020-06-05 23:59:59,9869.2369055,23509628646.2021,177801825144.882
Bitcoin,2020-06-06 23:59:59,9773.43201601,20438419222.3341,177595657884.165
Bitcoin,2020-06-07 23:59:59,9768.49790176,25015250845.6586,179540253701.404
Bitcoin,2020-06-08 23:59:59,9782.30649673,21486346311.9064,179782576533.652
Bitcoin,2020-06-09 23:59:59,9836.36896869,23717842782.9821,180237817527.031
Bitcoin,2020-06-10 23:59:59,9908.89655918,25706567600.5701,181616765438.402
Bitcoin,2020-06-11 23:59:59,9938.29767389,30247143440.179,171538133043.473
Bitcoin,2020-06-12 23:59:59,9540.46539289,22610564515.3124,174474896921.532
Bitcoin,2020-06-13 23:59:59,9493.21171489,17564322315.198,174381819725.142
Bitcoin,2020-06-14 23:59:59,9482.27093599,18991732745.507,172763239787.199
Bitcoin,2020-06-15 23:59:59,9504.86006526,26699704768.4568,173947607771.726
Bitcoin,2020-06-16 23:59:59,9579.43037458,21565537208.8567,175563963385.476
Bitcoin,2020-06-17 23:59:59,9540.42327076,20177709879.1518,174508805561.132
