Name,Date,High,Volume,Marketcap
Ethereum,2020-01-01 23:59:59,132.835356857,7935230330.4751,14271059633.0755
Ethereum,2020-01-02 23:59:59,130.820037712,8032709256.07622,13902505466.2437
Ethereum,2020-01-03 23:59:59,134.554013719,10476845358.0825,14642130119.6642
Ethereum,2020-01-04 23:59:59,136.052714158,7430904515.09457,14741946278.126
Ethereum,2020-01-05 23:59:59,139.410202121,7526675353.24436,14875569429.664
Ethereum,2020-01-06 23:59:59,144.328182399,9093747120.54445,15753803339.942
Ethereum,2020-01-07 23:59:59,145.001774824,9257954671.54302,15672773110.1732
Ethereum,2020-01-08 23:59:59,146.828000336,9387194956.58904,15425115411.4042
Ethereum,2020-01-09 23:59:59,141.393989012,7697325347.90469,15178151516.9684
Ethereum,2020-01-10 23:59:59,144.167321507,9084816202.76711,15724494552.6748
Ethereum,2020-01-11 23:59:59,146.480905038,9332208590.18775,15613213639.7289
Ethereum,2020-01-12 23:59:59,146.145866271,8528167453.24902,15937115426.2969
Ethereum,2020-01-13 23:59:59,146.791233735,8378529469.79702,15759102081.3277
Ethereum,2020-01-14 23:59:59,167.681553672,16712318373.0187,18135588270.9266
Ethereum,2020-01-15 23:59:59,170.425668392,15173694057.1567,18167930410.6557
Ethereum,2020-01-16 23:59:59,167.058148664,13735193017.9104,17969103320.7762
Ethereum,2020-01-17 23:59:59,173.069206686,14997091825.8827,18669811575.9153
Ethereum,2020-01-18 23:59:59,178.528782319,14929342255.5251,19173512822.9137
Ethereum,2020-01-19 23:59:59,177.247628512,13713374132.1754,18257853531.6232
Ethereum,2020-01-20 23:59:59,169.11487959,11144529787.0924,18276600991.9192
Ethereum,2020-01-21 23:59:59,169.910115785,9789369362.47085,18560711557.1284
Ethereum,2020-01-22 23:59:59,171.008695889,9209827927.92133,18409534609.4783
Ethereum,2020-01-23 23:59:59,168.312241207,10396868698.0135,17824835899.2751
Ethereum,2020-01-24 23:59:59,164.309446677,10657671161.8162,17840465424.1492
Ethereum,2020-01-25 23:59:59,163.22722698,8256956801.64332,17649296255.9479
Ethereum,2020-01-26 23:59:59,168.220317249,9261861589.61793,18394952134.9465
Ethereum,2020-01-27 23:59:59,172.922913631,11004476145.2172,18709615890.943
Ethereum,2020-01-28 23:59:59,176.370320541,11772875063.6629,19307396128.3943
Ethereum,2020-01-29 23:59:59,178.842968644,10725267310.6002,19165292202.1875
Ethereum,2020-01-30 23:59:59,186.260489829,12604789338.0387,20223232963.5657
Ethereum,2020-01-31 23:59:59,185.405842386,11728616393.8933,19729633077.607
Ethereum,2020-02-01 23:59:59,183.845555076,11569697182.4858,20116913727.9509
Ethereum,2020-02-02 23:59:59,193.080396944,14054425388.9062,20660936266.9287
Ethereum,2020-02-03 23:59:59,193.436888878,12392875241.4011,20800183238.206
Ethereum,2020-02-04 23:59:59,191.111489369,11714191695.0612,20735478719.6275
Ethereum,2020-02-05 23:59:59,206.804001224,14865434434.9265,22379510312.3186
Ethereum,2020-02-06 23:59:59,214.597709717,16425589682.5221,23270983771.9064
Ethereum,2020-02-07 23:59:59,223.14093027,16673443564.2959,24412375481.5021
Ethereum,2020-02-08 23:59:59,226.588093396,16741203125.0677,24461492838.843
Ethereum,2020-02-09 23:59:59,229.86424688,15031356241.4966,25060056858.7598
Ethereum,2020-02-10 23:59:59,229.184608833,16210008511.4996,24508831902.9171
Ethereum,2020-02-11 23:59:59,236.547127792,16964695963.4936,25863852652.7983
Ethereum,2020-02-12 23:59:59,272.398840133,24545049385.8684,29108513969.2886
Ethereum,2020-02-13 23:59:59,273.741056753,25801317504.3066,29407537084.1234
Ethereum,2020-02-14 23:59:59,285.056420339,23558253462.7508,31179427622.664
Ethereum,2020-02-15 23:59:59,287.123696828,23682452994.3183,29045044403.4449
Ethereum,2020-02-16 23:59:59,272.88243386,25152366643.3689,28518254585.3635
