Name,Date,High,Volume,Marketcap
Uniswap,2020-09-18 23:59:59,8.43853740886,6061110197.71016,668111645.023516
Uniswap,2020-09-19 23:59:59,7.44327478773,2447471305.09283,554507578.80579
Uniswap,2020-09-20 23:59:59,6.05032562987,1554143599.05737,507985734.869998
Uniswap,2020-09-21 23:59:59,5.62215475892,1329464490.16774,413239181.608882
Uniswap,2020-09-22 23:59:59,4.5540924279,816282684.413704,378276197.429285
Uniswap,2020-09-23 23:59:59,4.70764808,964205456.9093664,450744484.21021295
Uniswap,2020-09-24 23:59:59,5.24979542,1168427377.431701,497627878.46547896
Uniswap,2020-09-25 23:59:59,5.52867918,882242519.2985622,485585988.6782823
Uniswap,2020-09-26 23:59:59,5.22504502,463707078.0112021,465527823.6737845
Uniswap,2020-09-27 23:59:59,5.44252226,444099191.73009294,463107918.5720507
Uniswap,2020-09-28 23:59:59,4.93726458,435788115.8773787,405673978.9361568
Uniswap,2020-09-29 23:59:59,4.41739496,356399046.7000155,427895179.2095708
Uniswap,2020-09-30 23:59:59,4.44867244,375777186.50246894,388725832.1770539
Uniswap,2020-10-01 23:59:59,4.50650345,701098957.9030193,412637282.2459784
Uniswap,2020-10-02 23:59:59,4.29222077,646428103.6470554,366725902.6041601
Uniswap,2020-10-03 23:59:59,4.12461173,359042995.3840977,367279572.93126136
Uniswap,2020-10-04 23:59:59,3.81608753,413697305.8537077,355395144.4481529
Uniswap,2020-10-05 23:59:59,3.71620756,497456256.7887876,331205713.42270654
Uniswap,2020-10-06 23:59:59,3.4168835,681166626.0777277,274542426.7050082
Uniswap,2020-10-07 23:59:59,2.98866733,664950267.3356261,271231751.18131524
Uniswap,2020-10-08 23:59:59,3.41710007,717724262.1603651,316782350.84644824
Uniswap,2020-10-09 23:59:59,3.55527319,672751180.9683499,300030423.7594074
Uniswap,2020-10-10 23:59:59,3.63220356,562610976.5370011,322712656.47065043
Uniswap,2020-10-11 23:59:59,3.44217517,411091368.0944885,328109389.42903274
Uniswap,2020-10-12 23:59:59,3.42904253,558369285.3870684,315809405.88573736
Uniswap,2020-10-13 23:59:59,3.62266013,383311535.2451846,338767151.10857934
Uniswap,2020-10-14 23:59:59,3.58245159,516845492.97146094,298544164.02639323
Uniswap,2020-10-15 23:59:59,3.07741004,439092200.2233341,541141642.9031625
Uniswap,2020-10-16 23:59:59,3.16335461,578856190.3794163,566018740.9886383
Uniswap,2020-10-17 23:59:59,3.08567533,274343380.146428,560759317.8628457
Uniswap,2020-10-18 23:59:59,3.27679891,270238696.62769705,658804132.0498519
Uniswap,2020-10-19 23:59:59,3.28186631,353126948.0164669,642198931.2594732
Uniswap,2020-10-20 23:59:59,3.18129683,542347476.0741956,595506496.7879803
Uniswap,2020-10-21 23:59:59,3.06571378,641102099.6216476,610958556.284688
Uniswap,2020-10-22 23:59:59,3.13980626,490414766.6593528,631330250.4628034
Uniswap,2020-10-23 23:59:59,3.12028148,340365373.12678003,629314884.2756435
Uniswap,2020-10-24 23:59:59,3.08329223,228726426.04521856,616104225.8426412
Uniswap,2020-10-25 23:59:59,2.96679659,280177012.5004011,582448679.857583
Uniswap,2020-10-26 23:59:59,2.86815301,402513710.1500299,572875510.6687803
Uniswap,2020-10-27 23:59:59,2.90054865,374717068.8986912,595071764.8665643
Uniswap,2020-10-28 23:59:59,2.85034013,382606651.5706099,564790634.9580132
Uniswap,2020-10-29 23:59:59,2.73456913,452924613.8820874,537048830.213098
Uniswap,2020-10-30 23:59:59,2.55472877,407724693.280509,511147587.4136733
Uniswap,2020-10-31 23:59:59,2.41416755,195366722.87350935,480662058.457911
Uniswap,2020-11-01 23:59:59,2.43362193,189355187.03208768,507214061.622942
Uniswap,2020-11-02 23:59:59,2.44083514,267321819.1266569,481565079.28856176
Uniswap,2020-11-03 23:59:59,2.28102325,249641515.28974253,456747205.28593296
Uniswap,2020-11-04 23:59:59,2.16038741,339588343.30015147,413703375.8057868
Uniswap,2020-11-05 23:59:59,2.40161741,513013237.58820254,473798080.6251046
Uniswap,2020-11-06 23:59:59,2.6778813,584436650.2169098,548667148.8368093
Uniswap,2020-11-07 23:59:59,2.99585781,771051234.7782099,533591764.2474856
Uniswap,2020-11-08 23:59:59,2.88537031,478996896.8201713,617187405.5768973
Uniswap,2020-11-09 23:59:59,2.85200563,486394677.98332816,580875958.2696799
Uniswap,2020-11-10 23:59:59,3.10329501,514331153.50193655,654437541.490111
Uniswap,2020-11-11 23:59:59,3.14989615,525551142.7375388,634810552.6298693
Uniswap,2020-11-12 23:59:59,3.08158068,538966370.025485,639623667.6424993
Uniswap,2020-11-13 23:59:59,3.96135021,765960346.8892331,848630742.4362862
Uniswap,2020-11-14 23:59:59,3.95374568,774643439.7326491,834021635.9941027
Uniswap,2020-11-15 23:59:59,4.23602319,742520517.9509934,847333503.5986902
Uniswap,2020-11-16 23:59:59,3.93290678,739416980.0883697,795818601.8057162
Uniswap,2020-11-17 23:59:59,3.84843573,753340390.0306114,845413000.0836904
Uniswap,2020-11-18 23:59:59,3.84740553,855595851.8627282,772306793.537774
Uniswap,2020-11-19 23:59:59,3.88487541,690972294.1208539,833239658.3074241
Uniswap,2020-11-20 23:59:59,4.083962,1046467101.110601,857827146.1419846
Uniswap,2020-11-21 23:59:59,3.92577012,972140640.0954676,851948496.5303949
Uniswap,2020-11-22 23:59:59,3.920586,1008603252.535265,819231644.5148652
Uniswap,2020-11-23 23:59:59,4.20403492,1351039953.9592154,938456080.8413752
Uniswap,2020-11-24 23:59:59,4.47937112,1346899109.0997114,911812852.1763512
Uniswap,2020-11-25 23:59:59,4.2001122,933020040.3073512,891341395.8819656
Uniswap,2020-11-26 23:59:59,3.76552699,1516484179.141803,833454266.6049309
Uniswap,2020-11-27 23:59:59,3.5188661,665287433.3981802,805742238.6120679
Uniswap,2020-11-28 23:59:59,3.53101638,508403729.8190797,843069227.6235335
Uniswap,2020-11-29 23:59:59,3.56922307,483895367.8046792,867998169.6988827
Uniswap,2020-11-30 23:59:59,3.80433301,824763849.8837101,921271091.8213736
Uniswap,2020-12-01 23:59:59,3.97591071,1042619600.66442,872773158.2148857
Uniswap,2020-12-02 23:59:59,4.16847302,729926103.8056227,968265196.0554484
Uniswap,2020-12-03 23:59:59,4.0197147,587622998.9209594,957378950.1253784
Uniswap,2020-12-04 23:59:59,3.91618491,595341444.3401191,868063348.8634834
Uniswap,2020-12-05 23:59:59,3.69654678,420480160.7165052,906044647.7016336
Uniswap,2020-12-06 23:59:59,3.7772646,423227915.4288991,904844016.4904616
Uniswap,2020-12-07 23:59:59,3.87173173,411938301.78209966,932617585.9439664
Uniswap,2020-12-08 23:59:59,3.76422563,546521147.0922648,813930076.8511748
Uniswap,2020-12-09 23:59:59,3.39082298,516081302.9396126,844381631.4283338
Uniswap,2020-12-10 23:59:59,3.36777105,365002773.88767374,816330299.5193958
Uniswap,2020-12-11 23:59:59,3.24386486,506458332.3246698,748056657.7925676
Uniswap,2020-12-12 23:59:59,3.17407792,299773732.062206,785986751.615319
Uniswap,2020-12-13 23:59:59,3.36219136,363657249.13062185,840323057.8884748
Uniswap,2020-12-14 23:59:59,3.52055261,364601423.6963119,877520702.0692979
Uniswap,2020-12-15 23:59:59,3.51630274,331368558.7711276,838880372.7142152
Uniswap,2020-12-16 23:59:59,3.53317972,569026020.9135668,897415957.1746562
Uniswap,2020-12-17 23:59:59,3.99304644,1276882131.0746474,938974378.487191
Uniswap,2020-12-18 23:59:59,3.84243785,764765771.570831,967792773.2319348
Uniswap,2020-12-19 23:59:59,4.23610709,860199471.3148907,1018410462.9465004
Uniswap,2020-12-20 23:59:59,4.01578153,701901570.6103531,967631324.6613728
Uniswap,2020-12-21 23:59:59,3.9184022,757127157.7472237,905433508.5809996
Uniswap,2020-12-22 23:59:59,3.77340982,734453822.739407,958801028.8768184
Uniswap,2020-12-23 23:59:59,3.76971416,838383816.39631,851816812.9726367
Uniswap,2020-12-24 23:59:59,3.52143239,673684478.0806745,905198426.2303164
Uniswap,2020-12-25 23:59:59,3.63597354,597006834.1877309,900828920.9527804
Uniswap,2020-12-26 23:59:59,3.59978136,531596588.269242,876098440.141036
Uniswap,2020-12-27 23:59:59,3.77099117,966315809.8824518,924485286.1780283
Uniswap,2020-12-28 23:59:59,3.91333214,859661085.0793926,959011053.1619704
Uniswap,2020-12-29 23:59:59,3.82327011,686584801.0579278,985107448.8832926
Uniswap,2020-12-30 23:59:59,4.3354187,763321282.1083853,1111315023.9393563
