Date,Name,High,PostDate,PostHigh,Change
2020-01-03,Binance Coin,13.7637,2020-01-04,13.9219,1.1494
2020-01-03,Bitcoin,7413.7151,2020-01-04,7427.3858,0.1844
2020-01-03,Cardano,0.0344,2020-01-04,0.0347,0.8721
2020-01-03,Chainlink,1.8265,2020-01-04,1.8511,1.3468
2020-01-03,Cosmos,4.3566,2020-01-04,4.3856,0.6657
2020-01-03,Crypto.com Coin,0.0349,2020-01-04,0.0349,0.0
2020-01-03,Dogecoin,0.0022,2020-01-04,0.0025,13.6364
2020-01-03,EOS,2.6588,2020-01-04,2.6727,0.5228
2020-01-03,Ethereum,134.554,2020-01-04,136.0527,1.1138
2020-01-03,IOTA,0.1676,2020-01-04,0.1747,4.2363
2020-01-03,Litecoin,42.4472,2020-01-04,43.3427,2.1097
2020-01-03,Monero,51.9809,2020-01-04,51.5454,0.8378
2020-01-03,NEM,0.0326,2020-01-04,0.0329,0.9202
2020-01-03,Stellar,0.0459,2020-01-04,0.0463,0.8715
2020-01-03,Tether,1.0223,2020-01-04,1.0136,0.851
2020-01-03,TRON,0.0135,2020-01-04,0.0135,0.0
2020-01-03,USD Coin,1.0079,2020-01-04,1.0184,1.0418
2020-01-03,Wrapped Bitcoin,7406.1482,2020-01-04,7462.4981,0.7609
2020-01-03,XRP,0.1941,2020-01-04,0.1947,0.3091
2020-01-07,Binance Coin,15.1353,2020-01-08,15.2422,0.7063
2020-01-07,Bitcoin,8178.2159,2020-01-08,8396.7379,2.672
2020-01-07,Cardano,0.0378,2020-01-08,0.0386,2.1164
2020-01-07,Chainlink,2.1258,2020-01-08,2.3344,9.8128
2020-01-07,Cosmos,4.2465,2020-01-08,4.1758,1.6649
2020-01-07,Crypto.com Coin,0.0384,2020-01-08,0.0419,9.1146
2020-01-07,Dogecoin,0.0025,2020-01-08,0.0025,0.0
2020-01-07,EOS,2.8772,2020-01-08,2.9345,1.9915
2020-01-07,Ethereum,145.0018,2020-01-08,146.828,1.2594
2020-01-07,IOTA,0.1976,2020-01-08,0.1904,3.6437
2020-01-07,Litecoin,46.8584,2020-01-08,48.2028,2.8691
2020-01-07,Monero,59.8603,2020-01-08,59.8125,0.0799
2020-01-07,NEM,0.0347,2020-01-08,0.0349,0.5764
2020-01-07,Stellar,0.0503,2020-01-08,0.0501,0.3976
2020-01-07,Tether,1.0112,2020-01-08,1.016,0.4747
2020-01-07,TRON,0.0147,2020-01-08,0.0146,0.6803
2020-01-07,USD Coin,1.0109,2020-01-08,1.0138,0.2869
2020-01-07,Wrapped Bitcoin,8196.4432,2020-01-08,8444.2719,3.0236
2020-01-07,XRP,0.2234,2020-01-08,0.2167,2.9991
2020-01-08,Binance Coin,15.2422,2020-01-09,14.6111,4.1405
2020-01-08,Bitcoin,8396.7379,2020-01-09,8082.2961,3.7448
2020-01-08,Cardano,0.0386,2020-01-09,0.0364,5.6995
2020-01-08,Chainlink,2.3344,2020-01-09,2.2327,4.3566
2020-01-08,Cosmos,4.1758,2020-01-09,4.2632,2.093
2020-01-08,Crypto.com Coin,0.0419,2020-01-09,0.0403,3.8186
2020-01-08,Dogecoin,0.0025,2020-01-09,0.0023,8.0
2020-01-08,EOS,2.9345,2020-01-09,2.7974,4.672
