Date,Name,Marketcap,PostDate,PostMarketcap,Change
2020-01-03,Binance Coin,2124701779.8703,2020-01-04,2160640037.3428,1.6914
2020-01-03,Bitcoin,133233444755.489,2020-01-04,134442464030.264,0.9074
2020-01-03,Cardano,886177804.0561,2020-01-04,896939967.3381,1.2144
2020-01-03,Chainlink,633397910.964,2020-01-04,644046686.122,1.6812
2020-01-03,Cosmos,810024888.1304,2020-01-04,817358521.3884,0.9054
2020-01-03,Crypto.com Coin,442431385.18,2020-01-04,443474510.3803,0.2358
2020-01-03,Dogecoin,263328861.9089,2020-01-04,275114092.6699,4.4755
2020-01-03,EOS,2498294605.4684,2020-01-04,2527254005.0499,1.1592
2020-01-03,Ethereum,14642130119.6642,2020-01-04,14741946278.126,0.6817
2020-01-03,IOTA,463789805.8629,2020-01-04,484229598.8194,4.4071
2020-01-03,Litecoin,2705193552.0739,2020-01-04,2763617782.1258,2.1597
2020-01-03,Monero,888197073.5166,2020-01-04,878616619.7449,1.0786
2020-01-03,NEM,289104002.3757,2020-01-04,288809225.6646,0.102
2020-01-03,Stellar,907150288.3474,2020-01-04,927967117.3403,2.2947
2020-01-03,Tether,4125267217.8369,2020-01-04,4138741036.9071,0.3266
2020-01-03,TRON,895850740.5944,2020-01-04,901595464.775,0.6413
2020-01-03,USD Coin,517055937.1999,2020-01-04,518956313.1585,0.3675
2020-01-03,Wrapped Bitcoin,4326417.1003,2020-01-04,4365511.4191,0.9036
2020-01-03,XRP,8386800449.0404,2020-01-04,8422952088.9124,0.4311
2020-01-07,Binance Coin,2334489401.6162,2020-01-08,2271292397.1019,2.7071
2020-01-07,Bitcoin,148152237653.685,2020-01-08,146645162431.476,1.0172
2020-01-07,Cardano,960513016.7075,2020-01-08,944645769.6662,1.652
2020-01-07,Chainlink,739934210.3825,2020-01-08,764262022.1145,3.2878
2020-01-07,Cosmos,781067565.421,2020-01-08,764782468.4871,2.085
2020-01-07,Crypto.com Coin,491118608.7433,2020-01-08,517352135.1284,5.3416
2020-01-07,Dogecoin,298738083.4034,2020-01-08,281594191.2333,5.7388
2020-01-07,EOS,2704276005.0175,2020-01-08,2643949106.8822,2.2308
2020-01-07,Ethereum,15672773110.1732,2020-01-08,15425115411.4042,1.5802
2020-01-07,IOTA,516165138.3689,2020-01-08,503373467.8211,2.4782
2020-01-07,Litecoin,2962310516.9588,2020-01-08,2913485628.9771,1.6482
2020-01-07,Monero,1022853093.9316,2020-01-08,1034174393.8583,1.1068
2020-01-07,NEM,304039991.2306,2020-01-08,300103078.6827,1.2949
2020-01-07,Stellar,995321993.7679,2020-01-08,972927110.9734,2.25
2020-01-07,Tether,4633564969.3016,2020-01-08,4630671669.593,0.0624
2020-01-07,TRON,958436351.7692,2020-01-08,938166611.7149,2.1149
2020-01-07,USD Coin,478340351.4574,2020-01-08,463207216.4676,3.1637
2020-01-07,Wrapped Bitcoin,4813036.8548,2020-01-08,4789070.6315,0.4979
2020-01-07,XRP,9276786516.7,2020-01-08,9064684942.5081,2.2864
2020-01-08,Binance Coin,2271292397.1019,2020-01-09,2255020117.989,0.7164
2020-01-08,Bitcoin,146645162431.476,2020-01-09,143016572819.392,2.4744
2020-01-08,Cardano,944645769.6662,2020-01-09,942675508.1713,0.2086
2020-01-08,Chainlink,764262022.1145,2020-01-09,765117094.812,0.1119
2020-01-08,Cosmos,764782468.4871,2020-01-09,812941169.7066,6.297
