Date,Name,Volume,PostDate,PostVol,Change
2020-01-03,Binance Coin,173683856.863,2020-01-04,182230373.6529,4.9207
2020-01-03,Bitcoin,28111481031.9377,2020-01-04,18444271274.7607,34.3888
2020-01-03,Cardano,30162644.4405,2020-01-04,29535780.7018,2.0783
2020-01-03,Chainlink,61298048.379,2020-01-04,49108149.8122,19.8863
2020-01-03,Cosmos,138617691.0756,2020-01-04,90718304.7227,34.555
2020-01-03,Crypto.com Coin,13517005.7586,2020-01-04,9840614.4678,27.1983
2020-01-03,Dogecoin,62619987.7753,2020-01-04,94227581.638,50.4752
2020-01-03,EOS,2170632578.3198,2020-01-04,1568801391.228,27.7261
2020-01-03,Ethereum,10476845358.0825,2020-01-04,7430904515.0946,29.0731
2020-01-03,IOTA,4989335.9729,2020-01-04,5312938.8059,6.4859
2020-01-03,Litecoin,3260961325.822,2020-01-04,2843192896.775,12.8112
2020-01-03,Monero,145826653.2654,2020-01-04,61952233.6838,57.5165
2020-01-03,NEM,5138719.183,2020-01-04,8757789.1834,70.4275
2020-01-03,Stellar,168931017.9276,2020-01-04,152253766.0704,9.8722
2020-01-03,Tether,32420287855.7851,2020-01-04,21585629319.6533,33.4194
2020-01-03,TRON,1109470186.5636,2020-01-04,991868125.6356,10.5998
2020-01-03,USD Coin,374792166.5392,2020-01-04,334494308.1546,10.7521
2020-01-03,Wrapped Bitcoin,38444.6867,2020-01-04,51425.8795,33.7659
2020-01-03,XRP,1270017042.6181,2020-01-04,999331593.6091,21.3135
2020-01-07,Binance Coin,191948559.8002,2020-01-08,183632221.9055,4.3326
2020-01-07,Bitcoin,28767291326.9703,2020-01-08,31672559264.5185,10.0992
2020-01-07,Cardano,51562679.5069,2020-01-08,49193345.0766,4.5951
2020-01-07,Chainlink,140921324.476,2020-01-08,192821111.3365,36.8289
2020-01-07,Cosmos,136691938.6051,2020-01-08,128484379.8756,6.0044
2020-01-07,Crypto.com Coin,5271186.644,2020-01-08,6041244.6644,14.6088
2020-01-07,Dogecoin,52767343.0526,2020-01-08,77251525.7058,46.4003
2020-01-07,EOS,2436150895.9826,2020-01-08,2680039141.9848,10.0112
2020-01-07,Ethereum,9257954671.543,2020-01-08,9387194956.589,1.396
2020-01-07,IOTA,10842185.0056,2020-01-08,8308095.2215,23.3725
2020-01-07,Litecoin,3611521906.9089,2020-01-08,3633957130.0777,0.6212
2020-01-07,Monero,71803693.8789,2020-01-08,69698035.9701,2.9325
2020-01-07,NEM,6022338.7985,2020-01-08,5280185.8783,12.3233
2020-01-07,Stellar,239407285.9962,2020-01-08,213522155.9713,10.8122
